Title,Author,Format-Year
Learning Spanish-beginner I,"Iris Acevedo A.; Spanishonline, Costarica","eBook, 2025 — Spanish"
Real-World Spanish: The Conversation Learning System,Camila Vega Rivera,"eAudiobook, 2025"
100 Facts About Learning Spanish,Science-Based Language Learning Lab,"eAudiobook, 2024"
A Beginner's Guide to Learning Spanish,"Miller, Jackson","eAudiobook, 2024"
100 Facts About Learning Spanish,Science-Based Language Learning Lab,"eBook, 2024"
No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners,"Bennett, Olivia","eBook, 2024"
Learning Spanish for Adults Beginner,"World, Spain","eBook, 2023"
Learning to Read in English and Spanish Made Easy,"Navarijo, Susie G.","eBook, 2022"
Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast,Language Equipped Travelers,"eBook, 2021"
"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &","Michaels, Steven J.","eBook, 2021"
Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,"eBook, 2021"
Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,"eBook, 2021"
I'm Learning Spanish,"Gardner, James M.","eAudiobook, 2020 — Chinese"
I am learning Spanish,"Gardner, James M.","eAudiobook, 2018"
The Best Spanish Learning Games for Children,"Professor, Baby","eBook, 2017"
Spanish Easy Learning Complete Course,"Carmen García del Río; Fitzsimons, Ronan","eAudiobook, 2016"
Easy Learning Spanish Vocabulary,"Dictionaries, Collins","eBook, 2016 — Spanish"
Learning the Local Language: Your Guide to Real World Spanish,"Romey, Jared","eBook, 2013"
The Evolution of the Spanish Language,Unknown,"Streaming Video, 2017"
Essentials for Success with Spanish,Unknown,"Streaming Video, 2017"
Uses of the Infinitive,Unknown,"Streaming Video, 2017"
Expressing Emotion with the Subjunctive,Unknown,"Streaming Video, 2017"
Advanced Work with the Preterite Tense,Unknown,"Streaming Video, 2017"
Introduction to the Imperfect Tense,Unknown,"Streaming Video, 2017"
The Present Tense and Prepositions,Unknown,"Streaming Video, 2017"
The Conditional Tense,Unknown,"Streaming Video, 2017"
The Future Tense,Unknown,"Streaming Video, 2017"
The Present Perfect Tense,Unknown,"Streaming Video, 2017"
Regular -er and -ir Verbs in the Present,Unknown,"Streaming Video, 2015"
Subject Pronouns and the Verb Ser,Unknown,"Streaming Video, 2015"
Definite Articles and Nouns,Unknown,"Streaming Video, 2015"
"Affirmatives, Negatives, and Demonstratives",Unknown,"Streaming Video, 2015"
Superlatives and Equal Comparisons,Unknown,"Streaming Video, 2015"
Irregular Verbs in the Preterite,Unknown,"Streaming Video, 2015"
